destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
1,1,2,80,2,2,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
1,1,2,80,2,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
1,1,2,80,2,2,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
1,1,2,80,2,4,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,1
1,1,2,80,3,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
1,1,2,80,3,4,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,1
1,1,2,55,2,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
1,1,2,55,2,1,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,1
1,0,2,55,0,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
0,0,2,55,3,0,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,1,0,1
0,0,2,55,3,3,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
0,0,2,80,3,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
2,0,2,55,4,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,1,0,1,0
2,0,2,55,4,0,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,1,0,1,1
2,0,2,80,4,3,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
2,0,2,80,4,1,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,1,0,1
2,0,2,55,4,4,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,1
2,0,2,55,4,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
1,0,2,55,2,4,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,1
1,1,2,80,0,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,1
1,1,2,80,0,0,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,0
1,1,2,80,0,1,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,1
1,1,2,80,2,2,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,1
1,1,2,80,2,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,1
1,1,2,80,2,2,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,0
1,1,2,80,2,4,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,1
1,1,2,80,3,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,0
1,1,2,80,3,4,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,1
1,1,2,55,2,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,1
1,1,2,55,2,1,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,1
1,0,2,55,0,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,1
0,0,2,55,3,0,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,1,0,0
0,0,2,55,3,3,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,0
0,0,2,80,3,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,0
2,0,2,55,4,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,1,0,1,0
2,0,2,55,4,0,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,1,0,1,0
2,0,2,80,4,3,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,0
2,0,2,80,4,1,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,1,0,1
2,0,2,55,4,4,0,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,0,0,0,1,0
2,0,2,55,4,2,1,1,46,2,0,some college - no degree,student,$12500 - $24999,4,1,0,0,4,1,0,0,1,0
1,0,2,55,2,4,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,0,1,1
1,1,2,80,0,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,0,1,1
1,1,2,80,0,1,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,1,2,80,2,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,1,2,80,2,2,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,1,2,80,3,4,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,1,2,55,2,1,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,2,2,80,0,4,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,2,2,80,0,1,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,2,2,80,0,0,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,2,2,80,2,4,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,0,1,1
1,2,2,55,2,4,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
1,2,2,55,3,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,0
0,0,2,55,3,0,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,1,0,1
0,0,2,55,3,3,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,0
0,0,2,80,3,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,0,1,1
2,0,2,55,4,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,1,0,1,0
2,0,2,55,4,0,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,1,0,1,1
2,0,2,80,4,3,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,1
2,0,2,80,4,1,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,1,0,0
2,0,2,55,4,4,0,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,0,0,0,1,1
2,0,2,55,4,2,1,1,46,1,1,bachelors degree,education&training&library,$75000 - $87499,3,0,0,0,3,1,0,0,1,0
1,0,2,55,2,4,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,0
1,1,2,80,0,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
1,1,2,80,0,0,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
1,1,2,80,0,1,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,1,2,80,2,2,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
1,1,2,80,2,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,1,2,80,2,2,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,1,2,80,2,4,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,1,2,80,3,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
1,1,2,80,3,4,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,1,2,55,2,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
1,1,2,55,2,1,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,0,2,55,0,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
0,0,2,55,3,0,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,1,0,1
0,0,2,55,3,3,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
0,0,2,80,3,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
2,0,2,55,4,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,1,0,1,1
2,0,2,55,4,0,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,1,0,1,0
2,0,2,80,4,3,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
2,0,2,80,4,1,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,1,0,1
2,0,2,55,4,4,0,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,0,0,0,1,1
2,0,2,55,4,2,1,1,21,2,0,associates degree,student,$12500 - $24999,0,3,0,3,0,1,0,0,1,1
1,0,2,55,2,4,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,1
1,1,2,80,0,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,1
1,1,2,80,0,0,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,1
1,1,2,80,0,1,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,0
1,1,2,80,2,2,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,1
1,1,2,80,2,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,0
1,1,2,80,2,2,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,1
1,1,2,80,2,4,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,1
1,1,2,80,3,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,0
1,1,2,80,3,4,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,0
1,1,2,55,2,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,0
1,1,2,55,2,1,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,1
1,0,2,55,0,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,0
0,0,2,55,3,0,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,1,0,1
0,0,2,55,3,3,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,0
0,0,2,80,3,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,0
2,0,2,55,4,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,1,0,1,1
2,0,2,55,4,0,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,1,0,1,1
2,0,2,80,4,3,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,0
2,0,2,80,4,1,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,1,0,1
2,0,2,55,4,4,0,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,0,0,0,1,1
2,0,2,55,4,2,1,1,26,3,0,bachelors degree,student,$50000 - $62499,0,2,1,0,3,1,0,0,1,1
1,0,2,55,2,4,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,0,1,1
1,1,2,80,0,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,0,1,1
1,1,2,80,0,1,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,1,2,80,2,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,1,2,80,2,2,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,1,2,80,3,4,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,1,2,55,2,1,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,2,2,80,0,4,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,2,2,80,0,1,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,2,2,80,0,0,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,0
1,2,2,80,2,4,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,0,1,1
1,2,2,55,2,4,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,1
1,2,2,55,3,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,0
0,0,2,55,3,0,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,1,0,0
0,0,2,55,3,3,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,0
0,0,2,80,3,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,0,1,0
2,0,2,55,4,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,1,0,1,0
2,0,2,55,4,0,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,1,0,1,0
2,0,2,80,4,3,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,0
2,0,2,80,4,1,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,1,0,0
2,0,2,55,4,4,0,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,0,0,0,1,1
2,0,2,55,4,2,1,0,26,1,1,some college - no degree,unemployed,$62500 - $74999,4,3,2,1,4,1,0,0,1,0
1,0,2,55,2,4,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,1
1,1,2,80,0,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,0
1,1,2,80,0,0,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,1
1,1,2,80,0,1,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,0
1,1,2,80,2,2,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,1
1,1,2,80,2,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,0
1,1,2,80,2,2,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,1
1,1,2,80,2,4,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,1
1,1,2,80,3,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,0
1,1,2,80,3,4,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,0
1,1,2,55,2,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,0
1,1,2,55,2,1,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,1
1,0,2,55,0,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,0
0,0,2,55,3,0,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,1,0,1
0,0,2,55,3,3,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,1
0,0,2,80,3,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,0
2,0,2,55,4,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,1,0,1,0
2,0,2,55,4,0,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,1,0,1,1
2,0,2,80,4,3,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,1
2,0,2,80,4,1,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,1,0,0
2,0,2,55,4,4,0,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,0,0,0,1,1
2,0,2,55,4,2,1,1,26,2,0,some college - no degree,healthcare support,$37500 - $49999,2,2,2,2,2,1,0,0,1,0
1,0,2,55,2,4,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,1,2,80,0,2,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,1,2,80,0,0,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,0
1,1,2,80,0,1,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
1,1,2,80,2,2,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,1,2,80,2,2,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
1,1,2,80,2,2,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
1,1,2,80,2,4,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
1,1,2,80,3,2,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,1,2,80,3,4,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
1,1,2,55,2,2,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,1,2,55,2,1,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
0,0,2,80,3,2,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
2,0,2,55,4,0,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,1,0,1,1
2,0,2,80,4,3,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,1,0,0,1,1
2,0,2,80,4,1,1,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,1,0,1
2,0,2,55,4,4,0,0,26,2,1,associates degree,healthcare practitioners & technical,$25000 - $37499,4,0,1,0,3,0,0,0,1,1
1,0,2,55,2,4,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,1
1,1,2,80,0,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
1,1,2,80,0,0,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
1,1,2,80,0,1,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,1
1,1,2,80,2,2,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
1,1,2,80,2,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,0
1,1,2,80,2,2,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,0
1,1,2,80,2,4,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,1
1,1,2,80,3,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
1,1,2,80,3,4,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,1
1,1,2,55,2,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
1,1,2,55,2,1,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,1
1,0,2,55,0,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
0,0,2,55,3,0,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,1,0,1
0,0,2,55,3,3,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,0
0,0,2,80,3,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,0
2,0,2,55,4,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,1,0,1,0
2,0,2,55,4,0,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,1,0,1,0
2,0,2,80,4,3,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,1
2,0,2,80,4,1,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,1,0,1
2,0,2,55,4,4,0,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,0,0,0,1,1
2,0,2,55,4,2,1,1,21,2,0,some college - no degree,sales & related,$100000 or more,3,4,2,0,3,1,0,0,1,0
1,0,2,55,2,4,0,0,21,3,0,bachelors degree,management,$87500 - $99999,0,0,0,0,0,0,0,0,1,1
1,1,2,80,0,2,1,0,21,3,0,bachelors degree,management,$87500 - $99999,0,0,0,0,0,0,0,0,1,1
1,1,2,80,0,1,1,0,21,3,0,bachelors degree,management,$87500 - $99999,0,0,0,0,0,1,0,0,1,1
1,1,2,80,2,2,1,0,21,3,0,bachelors degree,management,$87500 - $99999,0,0,0,0,0,1,0,0,1,1
