,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y
39,Work,Alone,Sunny,0.375,7AM,Bar,1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,1,0,1
40,Work,Alone,Sunny,0.625,7AM,Restaurant(20-50),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0
41,Work,Alone,Sunny,0.625,7AM,Carry out & Take away,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,1,1
42,Work,Alone,Sunny,0.375,7AM,Restaurant(<20),1d,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,0,0,0,1
43,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Architecture & Engineering,$62500 - $74999,never,less1,4~8,4~8,less1,1,0,0,0
44,No Urgent Place,Alone,Sunny,0.375,2PM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,1
45,No Urgent Place,Friend(s),Sunny,0.625,10AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,1
46,No Urgent Place,Friend(s),Sunny,0.625,10AM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0
47,No Urgent Place,Friend(s),Sunny,0.625,10AM,Carry out & Take away,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,1
48,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,1
49,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,1
50,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0
51,No Urgent Place,Friend(s),Sunny,0.625,2PM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,1
52,No Urgent Place,Friend(s),Sunny,0.625,6PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0
53,No Urgent Place,Friend(s),Sunny,0.625,6PM,Restaurant(<20),2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,1
54,No Urgent Place,Friend(s),Sunny,0.375,2PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,1
55,No Urgent Place,Friend(s),Sunny,0.375,2PM,Carry out & Take away,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,1
56,No Urgent Place,Alone,Sunny,0.375,10AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,1
57,Home,Alone,Sunny,0.375,6PM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,1,0
58,Home,Alone,Sunny,0.375,6PM,Restaurant(20-50),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0
59,Home,Alone,Sunny,0.625,6PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0
60,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,1,0,0
61,Work,Alone,Sunny,0.375,7AM,Bar,1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,1,0,0
62,Work,Alone,Sunny,0.625,7AM,Restaurant(20-50),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0
63,Work,Alone,Sunny,0.625,7AM,Carry out & Take away,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,1,1
64,Work,Alone,Sunny,0.375,7AM,Restaurant(<20),1d,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,0,0,0,0
65,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,never,4~8,1~3,1~3,never,1,0,0,0
66,No Urgent Place,Alone,Sunny,0.375,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,0,1
67,No Urgent Place,Friend(s),Sunny,0.625,10AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,0,1
68,No Urgent Place,Friend(s),Sunny,0.625,10AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
69,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
70,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
71,No Urgent Place,Friend(s),Sunny,0.625,6PM,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
72,No Urgent Place,Friend(s),Sunny,0.375,2PM,Carry out & Take away,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
73,No Urgent Place,Kid(s),Sunny,0.625,10AM,Restaurant(<20),2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
74,No Urgent Place,Kid(s),Sunny,0.625,10AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
75,No Urgent Place,Kid(s),Sunny,0.625,10AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
76,No Urgent Place,Kid(s),Sunny,0.625,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,0,1
77,No Urgent Place,Kid(s),Sunny,0.375,2PM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
78,No Urgent Place,Kid(s),Sunny,0.375,6PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,0
79,Home,Alone,Sunny,0.375,6PM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,1,1
80,Home,Alone,Sunny,0.375,6PM,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,0
81,Home,Alone,Sunny,0.625,6PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,0,1
82,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,1,0,0
83,Work,Alone,Sunny,0.375,7AM,Bar,1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,1,0,1
84,Work,Alone,Sunny,0.625,7AM,Restaurant(20-50),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,1
85,Work,Alone,Sunny,0.625,7AM,Carry out & Take away,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,1,0
86,Work,Alone,Sunny,0.375,7AM,Restaurant(<20),1d,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,0,0,0,1
87,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Education&Training&Library,$75000 - $87499,less1,1~3,1~3,1~3,less1,1,0,0,0
88,No Urgent Place,Alone,Sunny,0.375,2PM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,0
89,No Urgent Place,Friend(s),Sunny,0.625,10AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
90,No Urgent Place,Friend(s),Sunny,0.625,10AM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
91,No Urgent Place,Friend(s),Sunny,0.625,10AM,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
92,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
93,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
94,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
95,No Urgent Place,Friend(s),Sunny,0.625,2PM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
96,No Urgent Place,Friend(s),Sunny,0.625,6PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
97,No Urgent Place,Friend(s),Sunny,0.625,6PM,Restaurant(<20),2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
98,No Urgent Place,Friend(s),Sunny,0.375,2PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
99,No Urgent Place,Friend(s),Sunny,0.375,2PM,Carry out & Take away,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
100,No Urgent Place,Alone,Sunny,0.375,10AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
101,Home,Alone,Sunny,0.375,6PM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,1,1
102,Home,Alone,Sunny,0.375,6PM,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
103,Home,Alone,Sunny,0.625,6PM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
104,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,1,0,1
105,Work,Alone,Sunny,0.375,7AM,Bar,1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,1,0,0
106,Work,Alone,Sunny,0.625,7AM,Restaurant(20-50),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
107,Work,Alone,Sunny,0.625,7AM,Carry out & Take away,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,1,1
108,Work,Alone,Sunny,0.375,7AM,Restaurant(<20),1d,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,0,0,0,1
109,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,21,Single,0,Associates degree,Student,$12500 - $24999,1~3,less1,1~3,less1,1~3,1,0,0,1
110,No Urgent Place,Alone,Sunny,0.375,2PM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1
111,No Urgent Place,Friend(s),Sunny,0.625,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1
112,No Urgent Place,Friend(s),Sunny,0.625,10AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1
113,No Urgent Place,Friend(s),Sunny,0.625,10AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,0
114,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1
115,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,0
116,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,1
117,No Urgent Place,Friend(s),Sunny,0.625,2PM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,1
118,No Urgent Place,Friend(s),Sunny,0.625,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,0
119,No Urgent Place,Friend(s),Sunny,0.625,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,0
120,No Urgent Place,Friend(s),Sunny,0.375,2PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,0
121,No Urgent Place,Friend(s),Sunny,0.375,2PM,Carry out & Take away,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,1
122,No Urgent Place,Alone,Sunny,0.375,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,0
123,Home,Alone,Sunny,0.375,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,1,1
124,Home,Alone,Sunny,0.375,6PM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,0
125,Home,Alone,Sunny,0.625,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,0
126,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,1,0,1
127,Work,Alone,Sunny,0.375,7AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,1,0,1
128,Work,Alone,Sunny,0.625,7AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,0
129,Work,Alone,Sunny,0.625,7AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,1,1
130,Work,Alone,Sunny,0.375,7AM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,0,0,0,1
131,Work,Alone,Sunny,0.375,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,1
132,No Urgent Place,Alone,Sunny,0.375,2PM,Restaurant(<20),1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,0,0,0,1
133,No Urgent Place,Friend(s),Sunny,0.625,10AM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,0,0,0,1
134,No Urgent Place,Friend(s),Sunny,0.625,10AM,Carry out & Take away,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
135,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
136,No Urgent Place,Friend(s),Sunny,0.625,2PM,Coffee House,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
137,No Urgent Place,Friend(s),Sunny,0.625,6PM,Restaurant(<20),2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
138,No Urgent Place,Friend(s),Sunny,0.375,2PM,Carry out & Take away,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
139,No Urgent Place,Kid(s),Sunny,0.625,10AM,Restaurant(<20),2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
140,No Urgent Place,Kid(s),Sunny,0.625,10AM,Carry out & Take away,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,1
141,No Urgent Place,Kid(s),Sunny,0.625,10AM,Bar,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,1,0,0,0
142,No Urgent Place,Kid(s),Sunny,0.625,2PM,Restaurant(<20),1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$62500 - $74999,never,less1,gt8,4~8,never,0,0,0,1
